case_id,task,question,expected_answer
case_1,answer_lookup,What is the Depressive Symptoms Frequency.Sleep Problems of respondent '71'?,3.0
case_2,answer_lookup,What is the Emotional Regulation Frequency.On Top of Things of the respondent with Anger = 4.0?,2.0
case_3,answer_lookup,What is the Anger of respondent '51'?,3.0
case_4,answer_lookup,What is the Loneliness of the respondent with Worry = 2.0?,9.0
case_5,answer_lookup,What is the Emotional Regulation Frequency.Irritated by Life of respondent '89'?,2.0
case_6,answer_lookup,What is the Anxiety Symptoms Frequency.Fear Something Awful Might Happen of respondent '60'?,1.0
case_7,answer_lookup,What is the Emotional Regulation Frequency.Things Going Your Way of the respondent with Laughter = 6.0?,N/A
case_8,answer_lookup,What is the Emotional Regulation Frequency.Felt Overwhelmed of respondent '84'?,N/A
case_9,answer_lookup,"What is the Anxiety Symptoms Frequency.Feeling Nervous or On Edge of the respondent with Ethnic identity = Black, mulatto (Afro-descendant), Afro-Colombian?",1.0
case_10,answer_lookup,What is the Depressive Symptoms Frequency.Feelings of Worthlessness of respondent '36'?,0.0
case_11,answer_lookup,What is the Depressive Symptoms Frequency.Suicidal Thoughts of the respondent with Worry = 2.0?,0.0
case_12,answer_lookup,What is the Parental Education.Father of respondent '3'?,15.0
case_13,answer_lookup,What is the Emotional Regulation Frequency.Things Going Your Way of respondent '46'?,N/A
case_14,answer_lookup,What is the Depressive Symptoms Frequency.Depressed Mood of the respondent with Happiness = 8.0?,N/A
case_15,answer_lookup,What is the Parental Education.Mother of respondent '126'?,N/A
case_16,answer_lookup,What is the Emotional Regulation Frequency.Unable to Control Important Things of the respondent with Anger = 4.0?,4.0
case_17,answer_lookup,What is the Depressive Symptoms Frequency.Psychomotor Changes of the respondent with Anger = 1.0?,N/A
case_18,answer_lookup,What is the Depressive Symptoms Frequency.Feelings of Worthlessness of respondent '113'?,2.0
case_19,answer_lookup,What is the Depressive Symptoms Frequency.Appetite Changes of respondent '142'?,1.0
case_20,answer_lookup,What is the Anxiety Symptoms Frequency.Fear Something Awful Might Happen of respondent '18'?,1.0
case_21,answer_lookup,What is the Emotional Regulation Frequency.Irritated by Life of respondent '72'?,3.0
