case_id,task,question,expected_answer
case_1,rule_based_querying,Which respondents scored higher than 2 on 'Confidence_in_Use'?,"['18', '73']"
case_2,rule_based_querying,Find all respondents whose 'Inconsistency' score is between 2 and 5.,"['12', '22', '86']"
case_3,rule_based_querying,List all respondents from the 'Junior' group whose 'Confidence_in_Use' is exactly 4.,[]
case_4,rule_based_querying,List all respondents from the 'Intern' group whose 'Need_for_Technical_Support' is exactly 1.,[]
case_5,rule_based_querying,List all respondents from the 'Middle' group whose 'System_Complexity' is exactly 4.,[]
case_6,rule_based_querying,Find all respondents whose 'Need_for_Technical_Support' score is between 2 and 3.,[]
case_7,rule_based_querying,List all respondents from the 'Senior' group whose 'Need_to_Learn_Before_Use' is exactly 1.,[]
case_8,rule_based_querying,Find all respondents whose 'Inconsistency' score is between 1 and 3.,"['30', '48', '17', '6']"
case_9,rule_based_querying,Find all respondents whose 'System_Complexity' score is between 1 and 4.,"['60', '79', '48', '18']"
case_10,rule_based_querying,List all respondents from the 'Middle' group whose 'Need_for_Technical_Support' is exactly 4.,[]
case_11,rule_based_querying,Which respondents scored higher than 3 on 'Need_to_Learn_Before_Use'?,"['72', '76', '25', '61']"
case_12,rule_based_querying,Which respondents scored higher than 2 on 'Ease_of_Learning'?,"['85', '68', '86', '45', '19']"
case_13,rule_based_querying,Which respondents scored higher than 3 on 'Need_for_Technical_Support'?,"['34', '24', '86']"
case_14,rule_based_querying,Which respondents scored higher than 2 on 'Frequent_Usage'?,"['14', '79', '90', '84', '68', '32']"
case_15,rule_based_querying,Which respondents scored higher than 2 on 'Confidence_in_Use'?,"['2', '67', '5', '21', '3', '8', '88']"
case_16,rule_based_querying,Find all respondents whose 'Need_for_Technical_Support' score is between 1 and 2.,"['47', '62', '37', '30', '58']"
case_17,rule_based_querying,Find all respondents whose 'Cumbersome_to_Use' score is between 1 and 3.,"['67', '54', '47', '38']"
case_18,rule_based_querying,Which respondents scored higher than 2 on 'Ease_of_Learning'?,"['16', '85', '58', '43', '31', '26']"
case_19,rule_based_querying,Find all respondents whose 'System_Complexity' score is between 1 and 3.,"['87', '6', '67', '16', '66', '26', '51', '45', '68', '38', '75', '19']"
case_20,rule_based_querying,Which respondents scored higher than 2 on 'Confidence_in_Use'?,"['88', '20', '34', '87', '82', '13', '42', '74', '22']"
case_21,rule_based_querying,Which respondents scored higher than 2 on 'Integration_of_Functions'?,"['22', '54', '89', '82', '37']"
case_22,rule_based_querying,Which respondents scored higher than 2 on 'Integration_of_Functions'?,"['18', '32', '4', '79', '58', '90', '16', '84', '45', '11', '30']"
case_23,rule_based_querying,List all respondents from the 'Senior' group whose 'Need_for_Technical_Support' is exactly 1.,"['76', '55']"
case_24,rule_based_querying,List all respondents from the 'Middle' group whose 'Frequent_Usage' is exactly 3.,[]
case_25,rule_based_querying,List all respondents from the 'Senior' group whose 'Ease_of_Use' is exactly 3.,[]
case_26,rule_based_querying,List all respondents whose 'System_Complexity' score is greater than their 'Need_for_Technical_Support' score.,['56']
case_27,rule_based_querying,Find all respondents whose total score for 'Confidence_in_Use' and 'Ease_of_Learning' is less than 4.,[]
case_28,rule_based_querying,Which respondents from the 'Junior' group have a 'System_Complexity' of 4 or more and a 'Need_to_Learn_Before_Use' of less than 4?,[]
case_29,rule_based_querying,Which respondents from the 'Middle' group have a 'Cumbersome_to_Use' of 4 or more and a 'Ease_of_Use' of less than 3?,[]
case_30,rule_based_querying,List all respondents whose 'System_Complexity' score is greater than their 'Ease_of_Use' score.,[]
case_31,rule_based_querying,List all respondents whose 'System_Complexity' score is greater than their 'Ease_of_Use' score.,['61']
case_32,rule_based_querying,List all respondents whose 'Need_to_Learn_Before_Use' score is greater than their 'Ease_of_Learning' score.,"['39', '64']"
case_33,rule_based_querying,Which respondents from the 'Junior' group have a 'Inconsistency' of 4 or more and a 'Confidence_in_Use' of less than 3?,[]
case_34,rule_based_querying,Find all respondents whose total score for 'Inconsistency' and 'Confidence_in_Use' is less than 6.,"['46', '55', '44']"
case_35,rule_based_querying,List all respondents whose 'Need_to_Learn_Before_Use' score is greater than their 'Confidence_in_Use' score.,['44']
case_36,rule_based_querying,Find all respondents whose total score for 'Inconsistency' and 'Frequent_Usage' is less than 4.,"['8', '11', '81']"
case_37,rule_based_querying,Find all respondents whose total score for 'Need_for_Technical_Support' and 'Ease_of_Learning' is less than 4.,[]
case_38,rule_based_querying,Which respondents from the 'Senior' group have a 'Confidence_in_Use' of 3 or more and a 'Need_to_Learn_Before_Use' of less than 4?,['6']
case_39,rule_based_querying,Find all respondents whose total score for 'Cumbersome_to_Use' and 'Integration_of_Functions' is less than 6.,"['34', '4', '29', '73']"
case_40,rule_based_querying,Find all respondents whose total score for 'Integration_of_Functions' and 'Inconsistency' is less than 6.,['82']
case_41,rule_based_querying,Find all respondents whose 'Ease_of_Learning' is greater than the average 'Ease_of_Learning' for their group.,"['30', '74', '37', '71']"
case_42,rule_based_querying,Which respondents have an 'Ease_of_Use' score that is higher than the average 'Ease_of_Use' score for their group?,"['4', '36', '32', '70', '12']"
case_43,rule_based_querying,Which respondents have a total positive usability score ('Ease_of_Use' + 'Integration_of_Functions') that is lower than the average for all respondents in a different group?,"['19', '86', '64', '78']"
case_44,rule_based_querying,List all respondents whose 'Need_for_Technical_Support' is within 2 point of the highest 'Integration_of_Functions' for their group.,"['23', '49']"
case_45,rule_based_querying,Which respondents have an 'Ease_of_Use' score that is higher than the average 'Ease_of_Use' score for their group?,"['54', '63', '33', '11', '44', '62']"
case_46,rule_based_querying,Which respondents have a total positive usability score ('Ease_of_Use' + 'Integration_of_Functions') that is lower than the average for all respondents in a different group?,"['52', '82', '20']"
case_47,rule_based_querying,Which respondents have a total positive usability score ('Ease_of_Use' + 'Integration_of_Functions') that is lower than the average for all respondents in a different group?,"['46', '9', '44']"
case_48,rule_based_querying,Which respondents have a total positive usability score ('Ease_of_Use' + 'Integration_of_Functions') that is lower than the average for all respondents in a different group?,"['39', '65', '25']"
case_49,rule_based_querying,List all respondents whose 'Need_to_Learn_Before_Use' is within 2 point of the highest 'Integration_of_Functions' for their group.,"['9', '42']"
case_50,rule_based_querying,List all respondents whose 'System_Complexity' is within 1 point of the highest 'Cumbersome_to_Use' for their group.,"['64', '35', '82', '61', '43']"
