case_id,task,question,expected_answer
case_1,rule_based_querying,Find all respondents whose 'Age' is between 28 and 47.,['81']
case_2,rule_based_querying,Find all respondents whose 'Billing Amount' is between 8883 and 37043.,"['42', '139', '36']"
case_3,rule_based_querying,List all female respondents whose 'Age' is less than 41.,['129']
case_4,rule_based_querying,List all female respondents whose 'Age' is less than 44.,['88']
case_5,rule_based_querying,Which respondents have a 'Billing Amount' greater than 16209?,"['59', '92', '97', '48', '98', '76', '64']"
case_6,rule_based_querying,Which respondents have a 'Age' greater than 36?,"['40', '100', '82', '93']"
case_7,rule_based_querying,Find all respondents whose 'Billing Amount' is between 12278 and 27551.,"['114', '93']"
case_8,rule_based_querying,List all male respondents whose 'Billing Amount' is less than 28104.,['143']
case_9,rule_based_querying,Find all respondents whose 'Age' is between 30 and 63.,"['7', '91', '142', '24', '84', '4', '75']"
case_10,rule_based_querying,List all female respondents whose 'Billing Amount' is less than 24637.,['144']
case_11,rule_based_querying,Find all respondents whose 'Age' is between 28 and 57.,"['43', '71', '124']"
case_12,rule_based_querying,List all female respondents whose 'Age' is less than 53.,"['65', '118']"
case_13,rule_based_querying,List all male respondents whose 'Age' is less than 48.,"['78', '2']"
case_14,rule_based_querying,Which respondents have a 'Billing Amount' greater than 17004?,"['113', '86', '77', '83', '46']"
case_15,rule_based_querying,List all male respondents whose 'Billing Amount' is less than 30437.,"['148', '63', '84', '97']"
case_16,rule_based_querying,Which respondents have a 'Billing Amount' greater than 25465?,"['47', '141', '7', '75']"
case_17,rule_based_querying,Which respondents have a 'Billing Amount' greater than 24130?,"['105', '128', '36', '62', '65']"
case_18,rule_based_querying,Find all respondents whose 'Billing Amount' is between 9407 and 32871.,"['97', '19', '150', '103']"
case_19,rule_based_querying,List all male respondents whose 'Age' is less than 57.,"['140', '28', '12']"
case_20,rule_based_querying,Find all respondents whose 'Billing Amount' is between 12135 and 39165.,"['26', '57', '131', '149']"
case_21,rule_based_querying,List all male respondents whose 'Billing Amount' is less than 37725.,"['89', '7']"
case_22,rule_based_querying,Find all respondents whose 'Billing Amount' is between 12319 and 39298.,"['27', '76', '37', '90', '117', '134']"
case_23,rule_based_querying,Which respondents have a 'Age' greater than 41?,"['90', '122', '25', '116', '82', '77', '6']"
case_24,rule_based_querying,Which respondents have a 'Billing Amount' greater than 15341?,"['63', '45', '41']"
case_25,rule_based_querying,Find all respondents whose 'Billing Amount' is between 10047 and 30813.,"['144', '110', '102', '51']"
case_26,rule_based_querying,Find all respondents whose calculated length of stay is greater than 41 days.,"['110', '2', '148', '138', '48', '94']"
case_27,rule_based_querying,Find all respondents whose calculated length of stay is greater than 33 days.,"['51', '118', '81', '101', '90']"
case_28,rule_based_querying,List all respondents whose 'Age' is an even number and who were admitted for an 'emergency' procedure.,"['45', '81']"
case_29,rule_based_querying,List all respondents whose 'Age' is an even number and who were admitted for an 'emergency' procedure.,['96']
case_30,rule_based_querying,Find all respondents whose calculated length of stay is greater than 43 days.,"['48', '143', '43', '74', '81']"
case_31,rule_based_querying,Which male respondents are over the age of 57 and have a 'Billing Amount' less than 21479?,"['92', '35', '50', '99']"
case_32,rule_based_querying,List all respondents whose 'Room Number' is an even number and who were admitted for an 'elective' procedure.,"['114', '43', '57', '71']"
case_33,rule_based_querying,List all respondents whose 'Room Number' is an even number and who were admitted for an 'urgent' procedure.,"['118', '145', '29']"
case_34,rule_based_querying,Which female respondents are over the age of 73 and have a 'Billing Amount' less than 25426?,[]
case_35,rule_based_querying,Find all respondents whose calculated length of stay is greater than 37 days.,"['90', '113', '31', '54']"
case_36,rule_based_querying,Which male respondents are over the age of 52 and have a 'Billing Amount' less than 25089?,['110']
case_37,rule_based_querying,List all respondents whose 'Age' is an even number and who were admitted for an 'emergency' procedure.,"['147', '69']"
case_38,rule_based_querying,Which female respondents are over the age of 31 and have a 'Billing Amount' less than 28838?,[]
case_39,rule_based_querying,List all respondents whose 'Room Number' is an even number and who were admitted for an 'emergency' procedure.,[]
case_40,rule_based_querying,Find all respondents whose calculated length of stay is greater than 34 days.,"['84', '118', '92', '17', '56', '110']"
case_41,rule_based_querying,Which respondents have a calculated length of stay that is more than double the average length of stay for their admission type?,[]
case_42,rule_based_querying,Which respondents have a calculated length of stay that is more than double the average length of stay for their admission type?,['117']
case_43,rule_based_querying,Find all respondents whose 'Billing Amount' is greater than the average 'Billing Amount' for their insurance provider.,"['41', '71', '65']"
case_44,rule_based_querying,Which patients have a 'Billing Amount' that is higher than the average billing amount for all patients with the same medical condition?,"['60', '110', '1', '55']"
case_45,rule_based_querying,Find all respondents whose 'Billing Amount' is greater than the average 'Billing Amount' for their medical condition.,"['58', '3', '88', '109']"
case_46,rule_based_querying,Which respondents have a calculated length of stay that is more than double the average length of stay for their admission type?,[]
case_47,rule_based_querying,Find all respondents whose 'Billing Amount' is greater than the average 'Billing Amount' for their medical condition.,['55']
case_48,rule_based_querying,Which patients have a 'Billing Amount' that is higher than the average billing amount for all patients with the same medical condition?,"['56', '23', '110', '64']"
case_49,rule_based_querying,Which patients have a 'Billing Amount' that is higher than the average billing amount for all patients with the same medical condition?,"['64', '73', '53']"
case_50,rule_based_querying,Which patients have a 'Billing Amount' that is higher than the average billing amount for all patients with the same medical condition?,"['101', '62', '127']"
