case_id,task,question,expected_answer
case_1,answer_reverse_lookup,List all respondents from sessions on '2025-05-04' who scored 3 on 'Situation'.,15
case_2,answer_reverse_lookup,List all respondents from sessions on '2025-05-02' who scored 3 on 'Background (examination)'.,None
case_3,answer_reverse_lookup,Which respondents participated in a 'III - Sepsis' session?,15
case_4,answer_reverse_lookup,List all respondents from sessions on '2025-03-14' who scored 3 on 'Recommendation (clear recommendation)'.,23
case_5,answer_reverse_lookup,Find all respondents who scored 3 on 'Background (examination)'.,"15, 5"
case_6,answer_reverse_lookup,Which respondents participated in a 'IV (AF)' session?,11
case_7,answer_reverse_lookup,Find all respondents who scored 2 on 'Recommendation (clear recommendation)'.,"15, 8, 22, 16, 20, 2, 5"
case_8,answer_reverse_lookup,List all respondents from sessions on '2025-05-02' who scored 2 on 'Background (examination)'.,8
case_9,answer_reverse_lookup,List all respondents from sessions on '2025-05-16' who scored 1 on 'Background (examination)'.,21
case_10,answer_reverse_lookup,Which respondents participated in a 'I (Myocardial infarction)' session?,21
case_11,answer_reverse_lookup,List all respondents from sessions on '2025-05-04' who scored 3 on 'Recommendation (clear recommendation)'.,9
case_12,answer_reverse_lookup,List all respondents from sessions on '2025-04-04' who scored 2 on 'Assessment'.,6
case_13,answer_reverse_lookup,Find all respondents who scored 2 on 'Recommendation (global rating scale)'.,"14, 15"
case_14,answer_reverse_lookup,Which respondents participated in a 'III-Sepsis' session?,7
case_15,answer_reverse_lookup,Find all respondents who scored 3 on 'Recommendation (clear recommendation)'.,"9, 3"
case_16,answer_reverse_lookup,Which respondents participated in a 'V (Hypoglycemia)' session?,1
case_17,answer_reverse_lookup,Find all respondents who scored 3 on 'Situation'.,"8, 5, 16, 4, 19, 7, 15"
case_18,answer_reverse_lookup,Find all respondents who scored 3 on 'Assessment'.,"20, 17"
case_19,answer_reverse_lookup,List all respondents from sessions on '2025-03-14' who scored 3 on 'Assessment'.,23
case_20,answer_reverse_lookup,Find all respondents who scored 2 on 'Identification'.,10
case_21,answer_reverse_lookup,Find all respondents who scored 2 on 'Background (examination)'.,"18, 14, 1, 8"
case_22,answer_reverse_lookup,Find all respondents who scored 2 on 'Background (history)'.,"14, 15, 23"
case_23,answer_reverse_lookup,List all respondents from sessions on '2025-05-02' who scored 2 on 'Recommendation (global rating scale)'.,None
case_24,answer_reverse_lookup,List all respondents from sessions on '2025-05-02' who scored 2 on 'Recommendation (clear recommendation)'.,"8, 20, 16"
case_25,answer_reverse_lookup,Find all respondents who scored 2 on 'Assessment'.,"6, 21, 7, 12, 13, 19"
case_26,answer_reverse_lookup,Which respondents have a total score for 'Recommendation (global rating scale)' and 'Identification' greater than 5?,"20, 8, 12"
case_27,answer_reverse_lookup,List all respondents who scored 3 on 'Identification' and whose 'Comments' contain the word 'reflected'.,None
case_28,answer_reverse_lookup,Which respondents have a total score for 'Situation' and 'Assessment' greater than 5?,"16, 18, 17, 20"
case_29,answer_reverse_lookup,Find all respondents from the 'III (Sepsis)' session who scored 2 on 'Assessment' and 3 on 'Situation'.,"8, 4"
case_30,answer_reverse_lookup,Which respondents have a total score for 'Assessment' and 'Recommendation (clear recommendation)' greater than 4?,"18, 20, 16, 9, 2"
case_31,answer_reverse_lookup,Which respondents have a total score for 'Background (history)' and 'Assessment' greater than 5?,5
case_32,answer_reverse_lookup,Find all respondents from the 'IV (VT)' session who scored 3 on 'Identification' and 3 on 'Background (examination)'.,22
case_33,answer_reverse_lookup,Which respondents have a total score for 'Assessment' and 'Situation' greater than 5?,"11, 2, 16, 20"
case_34,answer_reverse_lookup,Which respondents have a total score for 'Recommendation (global rating scale)' and 'Recommendation (clear recommendation)' greater than 5?,"21, 3, 23"
case_35,answer_reverse_lookup,List all respondents who scored 3 on 'Identification' and whose 'Comments' contain the word 'Overall'.,None
case_36,answer_reverse_lookup,List all respondents who scored 1 on 'Recommendation (global rating scale)' and whose 'Comments' contain the word 'Clear'.,None
case_37,answer_reverse_lookup,List all respondents who scored 3 on 'Identification' and whose 'Comments' contain the word 'Time'.,14
case_38,answer_reverse_lookup,Which respondents have a total score for 'Background (history)' and 'Background (examination)' greater than 4?,"15, 3, 8, 7, 2"
case_39,answer_reverse_lookup,List all respondents who scored 3 on 'Recommendation (clear recommendation)' and whose 'Comments' contain the word 'unclear'.,9
case_40,answer_reverse_lookup,List all respondents who scored 2 on 'Assessment' and whose 'Comments' contain the word 'Clear'.,"15, 8, 9, 22"
case_41,answer_reverse_lookup,Find all respondents whose 'Recommendation (clear recommendation)' is higher than the average 'Recommendation (clear recommendation)' for all sessions on the same date.,21
case_42,answer_reverse_lookup,Find all respondents whose 'Identification' is higher than the average 'Identification' for all sessions on the same date.,None
case_43,answer_reverse_lookup,Which respondents participated in a session where the average 'Assessment' for that session name is greater than 2.0?,"14, 11, 20, 22, 23, 5"
case_44,answer_reverse_lookup,Find all respondents whose 'Background (examination)' is higher than the average 'Background (examination)' for all sessions on the same date.,"15, 19, 7"
case_45,answer_reverse_lookup,List all respondents who scored perfectly on 'Identification' and 'Background (history)' and whose 'Background (examination)' is below the average for all sessions.,None
